algorithm,nproc,maxGen,migration_interval,base_seed,global_best,elapsed_sec
DEA,1,100,20,12345,619697,0.519466
DEA,2,100,20,12345,615968,0.516000
DEA,4,100,20,12345,617546,0.544736
DEA,1,100,20,12345,619697,0.554838
DEA,2,100,20,12345,615968,0.559542
DEA,4,100,20,12345,617546,0.552408
