record_type,label,algorithm,nproc,maxGen,migration_interval,local_colony_size,total_colony_size,count,best,mean,std,median,min,max,avg_time,time_median,improvement_vs_equal_budget_serial_mean_pct
summary,DEA n=2 local=50,DEA,2,1000,100,50,100,10,398962.000000,403297.000000,3766.316060,402255.500000,398962.000000,411414.000000,0.991351,0.995985,8.022198
summary,DEA n=4 local=25,DEA,4,1000,100,25,100,10,376484.000000,382385.400000,4344.787636,382293.000000,376484.000000,388208.000000,0.334110,0.338399,12.791395
summary,SERIAL n=1 local=100,SERIAL,1,1000,0,100,100,10,430142.000000,438472.100000,4628.069395,438356.500000,430142.000000,444429.000000,3.881304,3.880910,0.000000
