algorithm,nproc,maxGen,migration_interval,local_to_global_ratio,num_groups,base_seed,global_best,elapsed_sec
HDEA,4,100,20,2,2,12345,616852,0.525813
HDEA,6,100,20,2,3,12345,616401,0.543645
